,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
215,047,949,947,1252,2513,270,6,18,65,0,231,45
216,048,454,845,797,1861,38,6,3,35,0,121,32
217,049,886,871,1196,2300,213,4,17,70,1,312,36
218,04A,3256,5274,5123,10652,978,22,43,166,1,1727,64
219,04B2,1752,2576,2880,5549,593,19,21,93,0,889,44
220,05,11937,14256,14106,27714,5389,199,402,759,3,4610,1223
221,05 GRE,156,178,118,425,0,1,1,0,0,24,1
222,05-00,506,1394,874,2273,152,5,10,34,0,280,20
223,05-01,1489,1040,2092,2821,512,13,35,235,0,697,308
224,05-03,1321,1169,2150,2827,360,8,44,274,0,611,516
225,05-05,3303,1656,3424,4035,1745,33,63,389,0,1685,433
226,05-06,1495,1278,2676,3431,184,15,33,386,0,546,854
227,05-07,2657,1069,4107,2947,809,43,68,697,0,1237,2032
228,05-08,1581,583,2048,1680,531,27,33,306,0,791,844
229,05-10,810,443,623,894,589,187,7,18,0,175,6
230,05.1,1269,362,1038,2386,27,3,15,35,1,186,16
231,050,859,495,980,1634,300,4,19,110,0,244,23
232,0501,805,622,417,1087,580,2,4,42,0,128,1
233,0506,262,712,418,1232,48,4,3,4,0,100,1
234,051,1858,1997,2314,4684,586,14,28,160,0,599,98
235,052,2412,637,1071,1345,2308,4,27,74,0,336,26
236,053,3129,1416,1915,2499,2922,16,48,197,0,674,104
237,054,2976,1280,1813,2737,2515,13,50,113,1,596,44
238,055,2386,1627,1720,2987,1828,17,42,165,0,554,140
239,056,1431,75,495,121,1582,10,17,43,1,194,33
240,057,745,757,890,1869,200,7,14,56,0,209,37
241,058,833,706,1176,1881,289,8,22,141,0,290,84
242,059,555,403,583,1145,141,6,7,81,0,128,33
243,05A,3875,3569,2903,6335,2167,602,31,196,0,993,23
244,06,7719,8745,8303,17667,3770,78,168,431,1,2457,195
245,06 JAC,512,492,437,1304,8,3,1,9,0,115,1
246,06-00,269,1163,618,1837,26,4,4,21,0,147,11
247,06-04,1476,1166,1984,3089,581,15,22,185,0,632,102
248,06-05,746,1310,1376,2864,194,5,11,51,0,274,33
249,06-06,1951,2014,3015,5061,590,16,58,267,0,768,220
250,06-07,1146,1032,1647,2572,445,0,28,190,0,418,172
251,06-08,847,599,979,1586,423,6,15,86,0,264,45
252,06-09,1887,2608,3424,6075,460,24,50,234,0,901,175
